en.q|30170|8.678169272739787E-4
nl.s|592|5.272246520272768E-4
nl.q|600|4.895741113209933E-4
ht.d|1|3.2351989647363315E-4
pam.d|1|2.670940170940171E-4
io|1021|2.486667952622278E-4
zh-min-nan.d|71|2.174738725051765E-4
nl.b|442|1.860606086118279E-4
pl.s|682|1.8196458787688948E-4
fr.q|595|1.7434308550927667E-4
en|2710695|1.6622911088146435E-4
pt.q|791|1.3989954469861198E-4
pl.b|592|1.3396320175672826E-4
tr.q|305|1.3294284460201925E-4
it.s|755|1.328609232971893E-4
it.b|458|1.2389361379817784E-4
simple|2032|1.194285999759027E-4
www|3104|1.1618651019218462E-4
ta.d|153|1.1552261525079733E-4
tw|7|1.1028137505120207E-4
