"","article title","author","journal information","years of publication","number of citation"
"1","Unsupervised learning","T Hastie, R Tibshirani, J Friedman","The elements of statistical learning, 485-585, 2009","2009","39928"
"2","Generalized additive models","TJ Hastie","Statistical models in S, 249-307, 2017","2017","15744"
"3","Gene expression patterns of breast carcinomas distinguish tumor subclasses with clinical implications","T Sørlie, CM Perou, R Tibshirani, T Aas, S Geisler, H Johnsen, T Hastie, ...","Proceedings of the National Academy of Sciences 98 (19), 10869-10874, 2001","2001","11872"
"4","Regularization and variable selection via the elastic net","H Zou, T Hastie","Journal of the Royal Statistical Society: Series B (Statistical Methodology …, 2005","2005","7975"
"5","Least angle regression","B Efron, T Hastie, I Johnstone, R Tibshirani","The Annals of statistics 32 (2), 407-499, 2004","2004","7829"
"6","Additive logistic regression: a statistical view of boosting (with discussion and a rejoinder by the authors)","J Friedman, T Hastie, R Tibshirani","The annals of statistics 28 (2), 337-407, 2000","2000","6250"
"7","Regularization paths for generalized linear models via coordinate descent","J Friedman, T Hastie, R Tibshirani","Journal of statistical software 33 (1), 1, 2010","2010","5381"
"8","An introduction to statistical learning","G James, D Witten, T Hastie, R Tibshirani","springer, 2013","2013","3245"
"9","Estimating the number of clusters in a data set via the gap statistic","R Tibshirani, G Walther, T Hastie","Journal of the Royal Statistical Society: Series B (Statistical Methodology …, 2001","2001","3242"
"10","The Dantzig selector: Statistical estimation when p is much larger than n","E Candes, T Tao","The Annals of Statistics 35 (6), 2313-2351, 2007","2007","2884"
"11","The elements of statistical learning","J Friedman, T Hastie, R Tibshirani","Springer series in statistics 1 (10), 2001","2001","2874"
"12","Sparse inverse covariance estimation with the graphical lasso","J Friedman, T Hastie, R Tibshirani","Biostatistics 9 (3), 432-441, 2008","2008","2849"
"13","Statistical models in S","JM Chambers, TJ Hastie","Wadsworth & Brooks/Cole Advanced Books & Software, 1992","1992","2819"
"14","A statistical explanation of MaxEnt for ecologists","J Elith, SJ Phillips, T Hastie, M Dudík, YE Chee, CJ Yates","Diversity and distributions 17 (1), 43-57, 2011","2011","2786"
"15","Diagnosis of multiple cancer types by shrunken centroids of gene expression","R Tibshirani, T Hastie, B Narasimhan, G Chu","Proceedings of the National Academy of Sciences 99 (10), 6567-6572, 2002","2002","2706"
"16","Missing value estimation methods for DNA microarrays","O Troyanskaya, M Cantor, G Sherlock, P Brown, T Hastie, R Tibshirani, ...","Bioinformatics 17 (6), 520-525, 2001","2001","2698"
"17","A working guide to boosted regression trees","J Elith, JR Leathwick, T Hastie","Journal of Animal Ecology 77 (4), 802-813, 2008","2008","2255"
"18","Sparse principal component analysis","H Zou, T Hastie, R Tibshirani","Journal of computational and graphical statistics 15 (2), 265-286, 2006","2006","2030"
"19","Varying-coefficient models","T Hastie, R Tibshirani","Journal of the Royal Statistical Society. Series B (Methodological), 757-796, 1993","1993","1849"
"20","Classification by pairwise coupling","T Hastie, R Tibshirani","Advances in neural information processing systems, 507-513, 1998","1998","1649"
"21","Principal curves","T Hastie, W Stuetzle","Journal of the American Statistical Association 84 (406), 502-516, 1989","1989","1641"
"22","Pathwise coordinate optimization","J Friedman, T Hastie, H Höfling, R Tibshirani","The Annals of Applied Statistics 1 (2), 302-332, 2007","2007","1639"
